,Country_Region,Date,Cases,Cases_per_Million,case_delta_days,case_percentage_x_days_increase
0,Afghanistan,12/22/20,50190,1319.339797003051,2821,0.05620641562064156
1,Afghanistan,12/23/20,50433,1325.727515087764,2821,0.05620641562064156
2,Afghanistan,12/24/20,50655,1331.5632081528104,2821,0.05620641562064156
3,Afghanistan,12/25/20,50810,1335.6376785360633,2821,0.05620641562064156
4,Afghanistan,12/26/20,50886,1337.6354833691423,2821,0.05620641562064156
5,Afghanistan,12/27/20,51039,1341.6573799409987,2821,0.05620641562064156
6,Afghanistan,12/28/20,51280,1347.9925242143147,2821,0.05620641562064156
7,Afghanistan,12/29/20,51350,1349.8326076132032,2821,0.05620641562064156
8,Afghanistan,12/30/20,51405,1351.2783874266156,2821,0.05620641562064156
9,Afghanistan,12/31/20,51526,1354.4591030161228,2821,0.05620641562064156
10,Afghanistan,1/1/21,51526,1354.4591030161228,2821,0.05620641562064156
11,Afghanistan,1/2/21,51526,1354.4591030161228,2821,0.05620641562064156
12,Afghanistan,1/3/21,51526,1354.4591030161228,2821,0.05620641562064156
13,Afghanistan,1/4/21,53011,1393.4951579782573,2821,0.05620641562064156
0,Albania,12/22/20,53814,18854.379402079256,5809,0.10794588768721894
1,Albania,12/23/20,54317,19030.611476246682,5809,0.10794588768721894
2,Albania,12/24/20,54827,19209.296084249443,5809,0.10794588768721894
3,Albania,12/25/20,55380,19403.04625724067,5809,0.10794588768721894
4,Albania,12/26/20,55755,19534.431998419164,5809,0.10794588768721894
5,Albania,12/27/20,56254,19709.262624680687,5809,0.10794588768721894
6,Albania,12/28/20,56572,19820.677733200053,5809,0.10794588768721894
7,Albania,12/29/20,57146,20021.785507697277,5809,0.10794588768721894
8,Albania,12/30/20,57727,20225.34581602983,5809,0.10794588768721894
9,Albania,12/31/20,58316,20431.709020174192,5809,0.10794588768721894
10,Albania,1/1/21,58316,20431.709020174192,5809,0.10794588768721894
11,Albania,1/2/21,58991,20668.20335429549,5809,0.10794588768721894
12,Albania,1/3/21,59438,20824.81515778026,5809,0.10794588768721894
13,Albania,1/4/21,59623,20889.63212342832,5809,0.10794588768721894
0,Algeria,12/22/20,96069,2231.4096463400715,4576,0.047632430856988206
1,Algeria,12/23/20,96549,2242.558681202964,4576,0.047632430856988206
2,Algeria,12/24/20,97007,2253.1967186346405,4576,0.047632430856988206
3,Algeria,12/25/20,97441,2263.2773043231728,4576,0.047632430856988206
4,Algeria,12/26/20,97857,2272.9398012043466,4576,0.047632430856988206
5,Algeria,12/27/20,98249,2282.0448463423754,4576,0.047632430856988206
6,Algeria,12/28/20,98631,2290.917619920761,4576,0.047632430856988206
7,Algeria,12/29/20,98988,2299.2097146000374,4576,0.047632430856988206
8,Algeria,12/30/20,99311,2306.7120859765255,4576,0.047632430856988206
9,Algeria,12/31/20,99610,2313.657005609869,4576,0.047632430856988206
10,Algeria,1/1/21,99897,2320.3231993716404,4576,0.047632430856988206
11,Algeria,1/2/21,100159,2326.4087142343024,4576,0.047632430856988206
12,Algeria,1/3/21,100408,2332.192276069428,4576,0.047632430856988206
13,Algeria,1/4/21,100645,2337.6971120329813,4576,0.047632430856988206
0,Andorra,12/22/20,7633,98947.3957118042,616,0.08070221407048343
1,Andorra,12/23/20,7669,99414.06756371367,616,0.08070221407048343
2,Andorra,12/24/20,7699,99802.96077363822,616,0.08070221407048343
3,Andorra,12/25/20,7756,100541.85787249487,616,0.08070221407048343
4,Andorra,12/26/20,7806,101190.01322236913,616,0.08070221407048343
5,Andorra,12/27/20,7821,101384.45982733142,616,0.08070221407048343
6,Andorra,12/28/20,7875,102084.4676051956,616,0.08070221407048343
7,Andorra,12/29/20,7919,102654.84431308496,616,0.08070221407048343
8,Andorra,12/30/20,7983,103484.483160924,616,0.08070221407048343
9,Andorra,12/31/20,8049,104340.04822275802,616,0.08070221407048343
10,Andorra,1/1/21,8117,105221.53949858702,616,0.08070221407048343
11,Andorra,1/2/21,8166,105856.7317414638,616,0.08070221407048343
12,Andorra,1/3/21,8192,106193.77252339841,616,0.08070221407048343
13,Andorra,1/4/21,8249,106932.66962225505,616,0.08070221407048343
0,Angola,12/22/20,16802,527.9448313047844,882,0.05249375074395905
1,Angola,12/23/20,16931,531.9982108571185,882,0.05249375074395905
2,Angola,12/24/20,17029,535.0775224550157,882,0.05249375074395905
3,Angola,12/25/20,17099,537.277030739228,882,0.05249375074395905
4,Angola,12/26/20,17149,538.8481080850939,882,0.05249375074395905
5,Angola,12/27/20,17240,541.7074688545699,882,0.05249375074395905
6,Angola,12/28/20,17296,543.4670754819398,882,0.05249375074395905
7,Angola,12/29/20,17371,545.8236915007386,882,0.05249375074395905
8,Angola,12/30/20,17433,547.7718274096123,882,0.05249375074395905
9,Angola,12/31/20,17553,551.5424130396906,882,0.05249375074395905
10,Angola,1/1/21,17568,552.0137362434504,882,0.05249375074395905
11,Angola,1/2/21,17608,553.2705981201431,882,0.05249375074395905
12,Angola,1/3/21,17642,554.3389307153319,882,0.05249375074395905
13,Angola,1/4/21,17684,555.6586356858593,882,0.05249375074395905
0,Antigua and Barbuda,12/22/20,153,1575.4031178566281,7,0.0457516339869281
1,Antigua and Barbuda,12/23/20,154,1585.6998702609199,7,0.0457516339869281
2,Antigua and Barbuda,12/24/20,154,1585.6998702609199,7,0.0457516339869281
3,Antigua and Barbuda,12/25/20,155,1595.9966226652114,7,0.0457516339869281
4,Antigua and Barbuda,12/26/20,155,1595.9966226652114,7,0.0457516339869281
5,Antigua and Barbuda,12/27/20,155,1595.9966226652114,7,0.0457516339869281
6,Antigua and Barbuda,12/28/20,158,1626.8868798780866,7,0.0457516339869281
7,Antigua and Barbuda,12/29/20,158,1626.8868798780866,7,0.0457516339869281
8,Antigua and Barbuda,12/30/20,158,1626.8868798780866,7,0.0457516339869281
9,Antigua and Barbuda,12/31/20,159,1637.1836322823783,7,0.0457516339869281
10,Antigua and Barbuda,1/1/21,159,1637.1836322823783,7,0.0457516339869281
11,Antigua and Barbuda,1/2/21,159,1637.1836322823783,7,0.0457516339869281
12,Antigua and Barbuda,1/3/21,160,1647.4803846866698,7,0.0457516339869281
13,Antigua and Barbuda,1/4/21,160,1647.4803846866698,7,0.0457516339869281
0,Argentina,12/22/20,1555279,34608.89132737048,93661,0.060221349352752786
1,Argentina,12/23/20,1563865,34799.95154289246,93661,0.060221349352752786
2,Argentina,12/24/20,1563865,34799.95154289246,93661,0.060221349352752786
3,Argentina,12/25/20,1574554,35037.80882727569,93661,0.060221349352752786
4,Argentina,12/26/20,1578267,35120.43246811346,93661,0.060221349352752786
5,Argentina,12/27/20,1583297,35232.3626898786,93661,0.060221349352752786
6,Argentina,12/28/20,1590513,35392.93694042677,93661,0.060221349352752786
7,Argentina,12/29/20,1602163,35652.178905350025,93661,0.060221349352752786
8,Argentina,12/30/20,1613928,35913.979911128736,93661,0.060221349352752786
9,Argentina,12/31/20,1625514,36171.7977141846,93661,0.060221349352752786
10,Argentina,1/1/21,1629594,36262.58803323068,93661,0.060221349352752786
11,Argentina,1/2/21,1634834,36379.1912861232,93661,0.060221349352752786
12,Argentina,1/3/21,1640718,36510.12516780632,93661,0.060221349352752786
13,Argentina,1/4/21,1648940,36693.08546270752,93661,0.060221349352752786
0,Armenia,12/22/20,154602,52270.47354881158,5618,0.03633846910130529
1,Armenia,12/23/20,155440,52553.79884107108,5618,0.03633846910130529
2,Armenia,12/24/20,156142,52791.14294031472,5618,0.03633846910130529
3,Armenia,12/25/20,156763,53001.10118195333,5618,0.03633846910130529
4,Armenia,12/26/20,157349,53199.2260283305,5618,0.03633846910130529
5,Armenia,12/27/20,157834,53363.20307695325,5618,0.03633846910130529
6,Armenia,12/28/20,157948,53401.74613580478,5618,0.03633846910130529
7,Armenia,12/29/20,158296,53519.40389440419,5618,0.03633846910130529
8,Armenia,12/30/20,158878,53716.176352751485,5618,0.03633846910130529
9,Armenia,12/31/20,159409,53895.705863717834,5618,0.03633846910130529
10,Armenia,1/1/21,159738,54006.93977917532,5618,0.03633846910130529
11,Armenia,1/2/21,159798,54027.225599623496,5618,0.03633846910130529
12,Armenia,1/3/21,160027,54104.64981433403,5618,0.03633846910130529
13,Armenia,1/4/21,160220,54169.90253677566,5618,0.03633846910130529
12/22/20,Australia,12/22/20,28237,1113.2573028705258,280,0.00991606757091759
12/23/20,Australia,12/23/20,28262,1114.2429398918725,280,0.00991606757091759
12/24/20,Australia,12/24/20,28274,1114.7160456621189,280,0.00991606757091759
12/25/20,Australia,12/25/20,28297,1115.6228317217576,280,0.00991606757091759
12/26/20,Australia,12/26/20,28308,1116.05651201115,280,0.00991606757091759
12/27/20,Australia,12/27/20,28337,1117.199850955912,280,0.00991606757091759
12/28/20,Australia,12/28/20,28349,1117.6729567261584,280,0.00991606757091759
12/29/20,Australia,12/29/20,28381,1118.934572113482,280,0.00991606757091759
12/30/20,Australia,12/30/20,28405,1119.880783653975,280,0.00991606757091759
12/31/20,Australia,12/31/20,28425,1120.669293271052,280,0.00991606757091759
1/1/21,Australia,1/1/21,28460,1122.0491851009374,280,0.00991606757091759
1/2/21,Australia,1/2/21,28484,1122.99539664143,280,0.00991606757091759
1/3/21,Australia,1/3/21,28504,1123.7839062585074,280,0.00991606757091759
1/4/21,Australia,1/4/21,28517,1124.2964375096076,280,0.00991606757091759
0,Austria,12/22/20,342226,38551.69731173596,25184,0.07358879804573586
1,Austria,12/23/20,344357,38791.75407823327,25184,0.07358879804573586
2,Austria,12/24/20,347204,39112.46811587656,25184,0.07358879804573586
3,Austria,12/25/20,349055,39320.98293276371,25184,0.07358879804573586
4,Austria,12/26/20,350484,39481.95952559556,25184,0.07358879804573586
5,Austria,12/27/20,351892,39640.570472206644,25184,0.07358879804573586
6,Austria,12/28/20,353484,39819.9089857044,25184,0.07358879804573586
7,Austria,12/29/20,355352,40030.33884953217,25184,0.07358879804573586
8,Austria,12/30/20,357902,40317.59589062468,25184,0.07358879804573586
9,Austria,12/31/20,360815,40645.74481639037,25184,0.07358879804573586
10,Austria,1/1/21,362911,40881.85883918641,25184,0.07358879804573586
11,Austria,1/2/21,364302,41038.554738856874,25184,0.07358879804573586
12,Austria,1/3/21,365768,41203.69937503006,25184,0.07358879804573586
13,Austria,1/4/21,367410,41388.670379529634,25184,0.07358879804573586
0,Azerbaijan,12/22/20,205877,20539.805282043333,14722,0.07150871636948275
1,Azerbaijan,12/23/20,208211,20772.66230603479,14722,0.07150871636948275
2,Azerbaijan,12/24/20,210061,20957.23192659357,14722,0.07150871636948275
3,Azerbaijan,12/25/20,211764,21127.135744870113,14722,0.07150871636948275
4,Azerbaijan,12/26/20,213192,21269.603538469,14722,0.07150871636948275
5,Azerbaijan,12/27/20,214711,21421.150162052127,14722,0.07150871636948275
6,Azerbaijan,12/28/20,215483,21498.170565874494,14722,0.07150871636948275
7,Azerbaijan,12/29/20,216584,21608.014431947584,14722,0.07150871636948275
8,Azerbaijan,12/30/20,217636,21712.96969725993,14722,0.07150871636948275
9,Azerbaijan,12/31/20,218700,21819.122170921844,14722,0.07150871636948275
10,Azerbaijan,1/1/21,219041,21853.142841522138,14722,0.07150871636948275
11,Azerbaijan,1/2/21,219462,21895.14490111957,14722,0.07150871636948275
12,Azerbaijan,1/3/21,220265,21975.258093178327,14722,0.07150871636948275
13,Azerbaijan,1/4/21,220599,22008.580392241372,14722,0.07150871636948275
0,Bahamas,12/22/20,7772,19954.70907513056,152,0.0195573854863613
1,Bahamas,12/23/20,7788,19995.78927909377,152,0.0195573854863613
2,Bahamas,12/24/20,7788,19995.78927909377,152,0.0195573854863613
3,Bahamas,12/25/20,7788,19995.78927909377,152,0.0195573854863613
4,Bahamas,12/26/20,7788,19995.78927909377,152,0.0195573854863613
5,Bahamas,12/27/20,7834,20113.894865488008,152,0.0195573854863613
6,Bahamas,12/28/20,7834,20113.894865488008,152,0.0195573854863613
7,Bahamas,12/29/20,7846,20144.705018460416,152,0.0195573854863613
8,Bahamas,12/30/20,7857,20172.947658685127,152,0.0195573854863613
9,Bahamas,12/31/20,7871,20208.892837152936,152,0.0195573854863613
10,Bahamas,1/1/21,7887,20249.97304111615,152,0.0195573854863613
11,Bahamas,1/2/21,7887,20249.97304111615,152,0.0195573854863613
12,Bahamas,1/3/21,7914,20319.29588530407,152,0.0195573854863613
13,Bahamas,1/4/21,7924,20344.97101278108,152,0.0195573854863613
0,Bahrain,12/22/20,90634,55225.16835529731,3132,0.03455656817529845
1,Bahrain,12/23/20,90817,55336.674035384465,3132,0.03455656817529845
2,Bahrain,12/24/20,91070,55490.8321614066,3132,0.03455656817529845
3,Bahrain,12/25/20,91304,55633.413194960674,3132,0.03455656817529845
4,Bahrain,12/26/20,91518,55763.807815390464,3132,0.03455656817529845
5,Bahrain,12/27/20,91733,55894.81175647647,3132,0.03455656817529845
6,Bahrain,12/28/20,91935,56017.89452903169,3132,0.03455656817529845
7,Bahrain,12/29/20,92169,56160.47556258576,3132,0.03455656817529845
8,Bahrain,12/30/20,92425,56316.46165057654,3132,0.03455656817529845
