,Country_Region,Confirmed,Deaths,Recovered,Active,First_Confirmed_Case,Population,MostRecentYearHospBedInfoCollected,hosp_beds_per_1000_people,Continent,Fatality_Rate,cases_per_mil_people,deaths_per_mil_people,Recovery_Rate
0,US,1528568,91921,289392,1144851,1/22/20,326687501.0,2013,2.9,North America,0.06013536852792941,4678.9913765326455,281.37287076679434,0.18932229380701415
1,Italy,226699,32169,129401,65129,1/31/20,60421760.0,2012,3.4,Europe,0.14190181694670026,3751.943008611467,532.4075300024363,0.5708053410028275
2,Canada,80493,6028,40069,34396,1/26/20,37057765.0,2012,2.7,North America,0.07488849962108507,2172.095375962366,162.66496373971825,0.4977948393027965
3,Spain,232037,27778,150376,53883,2/1/20,46796540.0,2013,3.0,Europe,0.11971366635493477,4958.422139756486,593.5908936857297,0.6480690579519646
4,United Kingdom,250138,35422,1099,213617,1/31/20,66460344.0,2013,2.8,Europe,0.14160983137308206,3763.7181053411337,532.9794862331738,0.004393574746739799
5,China,84063,4638,79310,115,1/22/20,1392730000.0,2012,4.2,Asia,0.05517290603475965,60.358432718473786,3.3301501367817163,0.9434590723623949
6,Netherlands,44449,5734,167,38548,2/27/20,17231624.0,2009,4.7,Europe,0.12900177731782492,2579.5015025861753,332.7602784276166,0.0037571148957231885
7,Australia,7072,100,6431,541,1/26/20,24982688.0,2014,3.8,Oceania,0.01414027149321267,283.07602448543565,4.002771839443378,0.9093608597285068
8,Germany,177778,8081,155681,14016,1/27/20,82905782.0,2013,8.3,Europe,0.04545556818053977,2144.337773691104,97.47209187412284,0.875704530369337
9,Denmark,11242,551,9614,1077,2/27/20,5793636.0,2015,2.5,Europe,0.04901263120441202,1940.4049546778567,95.10435243083963,0.8551859099804305
10,France,180933,28025,62678,90230,1/24/20,66977107.0,2013,6.5,Europe,0.15489158970447625,2701.4155747276454,418.4265528219963,0.3464155239784893
11,Afghanistan,7653,178,850,6625,2/24/20,37172386.0,2015,0.5,Asia,0.023258852737488567,205.8786325957123,4.788500797339186,0.11106755520710833
12,Albania,949,31,742,176,3/9/20,2866376.0,2013,2.9,Europe,0.032665964172813484,331.0800816082747,10.815050084148067,0.7818756585879874
13,Algeria,7377,561,3746,3070,2/25/20,42228429.0,2015,1.9,Africa,0.07604717364782432,174.69274076002213,13.284889191591759,0.5077944964077539
14,Andorra,761,51,628,82,3/2/20,77006.0,2009,2.5,Europe,0.06701708278580815,9882.346830117132,662.2860556320286,0.8252299605781866
15,Angola,52,3,17,32,3/20/20,30809762.0,2005,0.8,Africa,0.057692307692307696,1.6877767507584123,0.09737173562067764,0.3269230769230769
16,Antigua and Barbuda,25,3,19,3,3/13/20,96286.0,2014,3.8,North America,0.12,259.64314645950606,31.15717757514073,0.76
17,Argentina,8809,393,2872,5544,3/3/20,44494502.0,2014,5.0,South America,0.04461346350323533,197.9795166602831,8.832551940911712,0.32603019639005565
18,Armenia,5041,64,2164,2813,3/1/20,2951776.0,2015,4.2,Europe,0.012695893671890498,1707.7854146114066,21.68186203831185,0.42927990478079747
19,Austria,16321,632,14678,1011,2/25/20,8840521.0,2013,7.6,Europe,0.038723117456038236,1846.1581619454328,71.48899934743665,0.8993321487653942
20,Azerbaijan,3518,41,2198,1279,3/1/20,9939800.0,2013,4.7,Europe,0.011654349061967027,353.93066258878446,4.124831485542969,0.6247868106878909
21,Bahamas,96,11,43,42,3/16/20,385640.0,2013,2.9,North America,0.11458333333333333,248.93683227880928,28.524012031946896,0.4479166666666667
22,Bahrain,7532,12,2952,4568,2/24/20,1569439.0,2014,2.0,Asia,0.0015932023366967605,4799.167090915926,7.646044223445448,0.3919277748274031
23,Bangladesh,25121,370,4993,19758,3/8/20,161356039.0,2015,0.8,Asia,0.014728713028939931,155.68676670353813,2.2930657091799334,0.19875801122566777
24,Barbados,90,7,68,15,3/17/20,286641.0,2014,5.8,North America,0.07777777777777778,313.98160067820027,24.42079116386002,0.7555555555555555
25,Belarus,31508,175,10620,20713,2/28/20,9483499.0,2013,11.0,Europe,0.005554144979052939,3322.4024170825555,18.453104703232423,0.3370572553002412
26,Belgium,55791,9108,14687,31996,2/4/20,11433256.0,2014,6.2,Europe,0.16325213744152284,4879.712305925801,796.6234640420892,0.2632503450377301
27,Belize,18,2,16,0,3/23/20,383071.0,2014,1.3,North America,0.1111111111111111,46.98867833900243,5.220964259889159,0.8888888888888888
28,Benin,130,2,83,45,3/16/20,11485048.0,2010,0.5,Africa,0.015384615384615385,11.31906457857207,0.17413945505495493,0.6384615384615384
29,Bhutan,21,0,5,16,3/6/20,754394.0,2012,1.7,Asia,0.0,27.836912806835684,0.0,0.23809523809523808
30,Bolivia,4481,189,533,3759,3/11/20,11353142.0,2014,1.1,South America,0.042178085248828386,394.69250010261476,16.647373916401293,0.11894666369114038
31,Bosnia and Herzegovina,2321,134,1522,665,3/5/20,3323929.0,2013,3.5,Europe,0.05773373545885394,698.2700292334764,40.313737146611736,0.6557518311072813
32,Botswana,25,1,17,7,3/30/20,2254126.0,2010,1.8,Africa,0.04,11.09077309786587,0.44363092391463477,0.68
33,Brazil,271885,17983,106794,147108,2/26/20,209469333.0,2014,2.2,South America,0.06614193500928701,1297.9704289219271,85.8502757537305,0.39279106975375616
34,Brunei,141,1,136,4,3/9/20,428962.0,2015,2.7,Asia,0.0070921985815602835,328.70044432840206,2.331208825024128,0.9645390070921985
35,Bulgaria,2259,112,646,1501,3/8/20,7025037.0,2013,6.8,Europe,0.04957945993802568,321.56414265149067,15.942976528095153,0.28596724214254093
36,Burkina Faso,796,51,652,93,3/10/20,19751535.0,2010,0.4,Africa,0.06407035175879397,40.30066523943582,2.582077798004054,0.8190954773869347
37,Burma,193,6,104,83,3/27/20,53708395.0,2012,0.9,Asia,0.031088082901554404,3.593479194453679,0.1117143791021869,0.538860103626943
38,Burundi,42,1,20,21,3/31/20,11175378.0,2014,0.8,Africa,0.023809523809523808,3.758262136636452,0.08948243182467742,0.47619047619047616
40,Cambodia,122,0,122,0,1/27/20,16249798.0,2015,0.8,Asia,0.0,7.507785635242974,0.0,1.0
41,Cameroon,3529,140,1567,1822,3/6/20,25216237.0,2010,1.3,Africa,0.03967129498441485,139.94950951642784,5.5519782749503825,0.44403513743270046
42,Central African Republic,366,0,18,348,3/15/20,4666377.0,2011,1.0,Africa,0.0,78.43343990423406,0.0,0.04918032786885246
43,Chad,545,56,139,350,3/19/20,15477751.0,2005,0.4,Africa,0.10275229357798166,35.21183407072513,3.6180967118543257,0.25504587155963304
44,Chile,49579,509,21507,27563,3/3/20,18729160.0,2013,2.2,South America,0.010266443453881684,2647.155558498085,27.17687285494918,0.4337925331289457
