,Country_Region
54,Arab World
113,Caribbean small states
173,Central Europe and the Baltics
231,Early-demographic dividend
292,East Asia & Pacific
352,East Asia & Pacific (excluding high income)
412,East Asia & Pacific (IDA & IBRD countries)
473,Euro area
533,Europe & Central Asia
593,Europe & Central Asia (excluding high income)
653,Europe & Central Asia (IDA & IBRD countries)
713,European Union
750,Fragile and conflict affected situations
826,Heavily indebted poor countries (HIPC)
893,High income
951,IBRD only
1011,IDA & IBRD total
1064,IDA blend
1110,IDA only
1170,IDA total
1252,Late-demographic dividend
1314,Latin America & Caribbean
1374,Latin America & Caribbean (excluding high income)
1434,Latin America & the Caribbean (IDA & IBRD countries)
1470,Least developed countries: UN classification
1551,Low & middle income
1606,Low income
1671,Lower middle income
1734,Middle East & North Africa
1794,Middle East & North Africa (excluding high income)
1854,Middle East & North Africa (IDA & IBRD countries)
1911,Middle income
1973,North America
2093,OECD members
2205,Pacific island small states
2273,Post-demographic dividend
2310,Pre-demographic dividend
2340,Small states
2451,South Asia
2511,South Asia (IDA & IBRD)
2550,Sub-Saharan Africa
2610,Sub-Saharan Africa (excluding high income)
2670,Sub-Saharan Africa (IDA & IBRD countries)
2752,Upper middle income
2811,World
2875,Afghanistan
2933,Albania
2995,Algeria
3109,Andorra
3165,Angola
3234,Antigua and Barbuda
3294,Argentina
3355,Armenia
3474,Australia
3533,Austria
3593,Azerbaijan
3653,"Bahamas, The"
3714,Bahrain
3775,Bangladesh
3834,Barbados
3893,Belarus
3954,Belgium
4014,Belize
4070,Benin
4116,Bermuda
4192,Bhutan
4254,Bolivia
4313,Bosnia and Herzegovina
4370,Botswana
4434,Brazil
4555,Brunei Darussalam
4613,Bulgaria
4670,Burkina Faso
4734,Burundi
4790,Cabo Verde
4855,Cambodia
4910,Cameroon
4972,Canada
5010,Cayman Islands
5091,Central African Republic
5145,Chad
5181,Channel Islands
5273,Chile
5332,China
5394,Colombia
5450,Comoros
5506,"Congo, Dem. Rep."
5565,"Congo, Rep."
5635,Costa Rica
5686,Cote d'Ivoire
5755,Croatia
5814,Cuba
5933,Cyprus
5995,Czech Republic
6055,Denmark
6114,Djibouti
6172,Dominica
6234,Dominican Republic
6293,Ecuador
6354,"Egypt, Arab Rep."
6414,El Salvador
6470,Equatorial Guinea
6531,Eritrea
6595,Estonia
6651,Eswatini
6715,Ethiopia
6831,Fiji
6895,Finland
6953,France
7070,Gabon
7131,"Gambia, The"
7193,Georgia
7253,Germany
7311,Ghana
7435,Greece
7450,Greenland
7554,Grenada
7674,Guatemala
7731,Guinea
7789,Guinea-Bissau
7854,Guyana
7913,Haiti
7974,Honduras
8005,"Hong Kong SAR, China"
8093,Hungary
8154,Iceland
8211,India
8275,Indonesia
8334,"Iran, Islamic Rep."
8394,Iraq
8453,Ireland
8509,Isle of Man
8573,Israel
8632,Italy
8693,Jamaica
8752,Japan
8815,Jordan
8873,Kazakhstan
8930,Kenya
8995,Kiribati
9052,"Korea, Dem. People’s Rep."
9115,"Korea, Rep."
9234,Kuwait
9293,Kyrgyz Republic
9352,Lao PDR
9413,Latvia
9474,Lebanon
9526,Lesotho
9590,Liberia
9654,Libya
9773,Lithuania
9835,Luxembourg
9850,"Macao SAR, China"
9950,Madagascar
10011,Malawi
10075,Malaysia
10129,Maldives
10190,Mali
10254,Malta
10310,Marshall Islands
10366,Mauritania
10431,Mauritius
10495,Mexico
10549,"Micronesia, Fed. Sts."
10613,Moldova
10672,Monaco
10732,Mongolia
10792,Montenegro
10854,Morocco
10911,Mozambique
10972,Myanmar
11029,Namibia
11090,Nauru
11152,Nepal
11209,Netherlands
11333,New Zealand
11394,Nicaragua
11455,Niger
11504,Nigeria
11573,North Macedonia
11693,Norway
11754,Oman
11814,Pakistan
11870,Palau
11933,Panama
11970,Papua New Guinea
12051,Paraguay
12114,Peru
12171,Philippines
12233,Poland
12293,Portugal
12336,Puerto Rico
12414,Qatar
12473,Romania
12533,Russian Federation
12587,Rwanda
12645,Samoa
12712,San Marino
12771,Sao Tome and Principe
12834,Saudi Arabia
12888,Senegal
12952,Serbia
13011,Seychelles
13066,Sierra Leone
13135,Singapore
13255,Slovak Republic
13313,Slovenia
13372,Solomon Islands
13434,Somalia
13485,South Africa
13613,Spain
13672,Sri Lanka
13732,St. Kitts and Nevis
13793,St. Lucia
13914,St. Vincent and the Grenadines
13973,Sudan
14030,Suriname
14093,Sweden
14153,Switzerland
14214,Syrian Arab Republic
14273,Tajikistan
14330,Tanzania
14390,Thailand
14450,Timor-Leste
14511,Togo
14570,Tonga
14634,Trinidad and Tobago
14695,Tunisia
14753,Turkey
14813,Turkmenistan
14921,Tuvalu
14990,Uganda
15053,Ukraine
15113,United Arab Emirates
15173,United Kingdom
15233,United States
15294,Uruguay
15353,Uzbekistan
15408,Vanuatu
15474,"Venezuela, RB"
15534,Vietnam
15576,Virgin Islands (U.S.)
15636,West Bank and Gaza
15714,"Yemen, Rep."
15770,Zambia
15831,Zimbabwe
