,Country_Region
0,US
0,Canada
0,United Kingdom
0,China
0,Netherlands
0,Australia
0,Denmark
0,France
3051,Afghanistan
3052,Albania
3053,Algeria
3054,Andorra
3055,Angola
3056,Antigua and Barbuda
3057,Argentina
3058,Armenia
3059,Austria
3060,Azerbaijan
3061,Bahamas
3062,Bahrain
3063,Bangladesh
3064,Barbados
3065,Belarus
3066,Belgium
3067,Belize
3068,Benin
3069,Bhutan
3070,Bolivia
3071,Bosnia and Herzegovina
3072,Botswana
3073,Brazil
3074,Brunei
3075,Bulgaria
3076,Burkina Faso
3077,Burma
3078,Burundi
3079,Cabo Verde
3080,Cambodia
3081,Cameroon
3082,Central African Republic
3083,Chad
3084,Chile
3085,Colombia
3086,Comoros
3087,Congo (Brazzaville)
3088,Congo (Kinshasa)
3089,Costa Rica
3090,Cote d'Ivoire
3091,Croatia
3092,Cuba
3093,Cyprus
3094,Czechia
3096,Diamond Princess
3097,Djibouti
3098,Dominica
3099,Dominican Republic
3100,Ecuador
3101,Egypt
3102,El Salvador
3103,Equatorial Guinea
3104,Eritrea
3105,Estonia
3106,Eswatini
3107,Ethiopia
3108,Fiji
3109,Finland
3111,Gabon
3112,Gambia
3113,Georgia
3114,Germany
3115,Ghana
3116,Greece
3117,Grenada
3118,Guatemala
3119,Guinea
3120,Guinea-Bissau
3121,Guyana
3122,Haiti
3123,Holy See
3124,Honduras
3125,Hungary
3126,Iceland
3127,India
3128,Indonesia
3129,Iran
3130,Iraq
3131,Ireland
3132,Israel
3133,Italy
3134,Jamaica
3135,Japan
3136,Jordan
3137,Kazakhstan
3138,Kenya
3139,"Korea, South"
3140,Kosovo
3141,Kuwait
3142,Kyrgyzstan
3143,Laos
3144,Latvia
3145,Lebanon
3146,Liberia
3147,Libya
3148,Liechtenstein
3149,Lithuania
3150,Luxembourg
3151,MS Zaandam
3152,Madagascar
3153,Malawi
3154,Malaysia
3155,Maldives
3156,Mali
3157,Malta
3158,Mauritania
3159,Mauritius
3160,Mexico
3161,Moldova
3162,Monaco
3163,Mongolia
3164,Montenegro
3165,Morocco
3166,Mozambique
3167,Namibia
3168,Nepal
3170,New Zealand
3171,Nicaragua
3172,Niger
3173,Nigeria
3174,North Macedonia
3175,Norway
3176,Oman
3177,Pakistan
3178,Panama
3179,Papua New Guinea
3180,Paraguay
3181,Peru
3182,Philippines
3183,Poland
3184,Portugal
3185,Qatar
3186,Romania
3187,Russia
3188,Rwanda
3189,Saint Kitts and Nevis
3190,Saint Lucia
3191,Saint Vincent and the Grenadines
3192,San Marino
3193,Sao Tome and Principe
3194,Saudi Arabia
3195,Senegal
3196,Serbia
3197,Seychelles
3198,Sierra Leone
3199,Singapore
3200,Slovakia
3201,Slovenia
3202,Somalia
3203,South Africa
3204,South Sudan
3205,Spain
3206,Sri Lanka
3207,Sudan
3208,Suriname
3209,Sweden
3210,Switzerland
3211,Syria
3212,Taiwan*
3213,Tajikistan
3214,Tanzania
3215,Thailand
3216,Timor-Leste
3217,Togo
3218,Trinidad and Tobago
3219,Tunisia
3220,Turkey
3221,Uganda
3222,Ukraine
3223,United Arab Emirates
3225,Uruguay
3226,Uzbekistan
3227,Venezuela
3228,Vietnam
3229,West Bank and Gaza
3230,Western Sahara
3231,Yemen
3232,Zambia
3233,Zimbabwe
