,Country_Region
0,Arab World
1,Caribbean small states
2,Central Europe and the Baltics
3,Early-demographic dividend
4,East Asia & Pacific
5,East Asia & Pacific (excluding high income)
6,East Asia & Pacific (IDA & IBRD countries)
7,Euro area
8,Europe & Central Asia
9,Europe & Central Asia (excluding high income)
10,Europe & Central Asia (IDA & IBRD countries)
11,European Union
12,Fragile and conflict affected situations
13,Heavily indebted poor countries (HIPC)
14,High income
15,IBRD only
16,IDA & IBRD total
17,IDA blend
18,IDA only
19,IDA total
20,Late-demographic dividend
21,Latin America & Caribbean
22,Latin America & Caribbean (excluding high income)
23,Latin America & the Caribbean (IDA & IBRD countries)
24,Least developed countries: UN classification
25,Low & middle income
26,Low income
27,Lower middle income
28,Middle East & North Africa
29,Middle East & North Africa (excluding high income)
30,Middle East & North Africa (IDA & IBRD countries)
31,Middle income
32,North America
33,Not classified
34,OECD members
35,Other small states
36,Pacific island small states
37,Post-demographic dividend
38,Pre-demographic dividend
39,Small states
40,South Asia
41,South Asia (IDA & IBRD)
42,Sub-Saharan Africa
43,Sub-Saharan Africa (excluding high income)
44,Sub-Saharan Africa (IDA & IBRD countries)
45,Upper middle income
46,World
47,Afghanistan
48,Albania
49,Algeria
50,American Samoa
51,Andorra
52,Angola
53,Antigua and Barbuda
54,Argentina
55,Armenia
56,Aruba
57,Australia
58,Austria
59,Azerbaijan
60,"Bahamas, The"
61,Bahrain
62,Bangladesh
63,Barbados
64,Belarus
65,Belgium
66,Belize
67,Benin
68,Bermuda
69,Bhutan
70,Bolivia
71,Bosnia and Herzegovina
72,Botswana
73,Brazil
74,British Virgin Islands
75,Brunei Darussalam
76,Bulgaria
77,Burkina Faso
78,Burundi
79,Cabo Verde
80,Cambodia
81,Cameroon
82,Canada
83,Cayman Islands
84,Central African Republic
85,Chad
86,Channel Islands
87,Chile
88,China
89,Colombia
90,Comoros
91,"Congo, Dem. Rep."
92,"Congo, Rep."
93,Costa Rica
94,Cote d'Ivoire
95,Croatia
96,Cuba
97,Curacao
98,Cyprus
99,Czech Republic
100,Denmark
101,Djibouti
102,Dominica
103,Dominican Republic
104,Ecuador
105,"Egypt, Arab Rep."
106,El Salvador
107,Equatorial Guinea
108,Eritrea
109,Estonia
110,Eswatini
111,Ethiopia
112,Faroe Islands
113,Fiji
114,Finland
115,France
116,French Polynesia
117,Gabon
118,"Gambia, The"
119,Georgia
120,Germany
121,Ghana
122,Gibraltar
123,Greece
124,Greenland
125,Grenada
126,Guam
127,Guatemala
128,Guinea
129,Guinea-Bissau
130,Guyana
131,Haiti
132,Honduras
133,"Hong Kong SAR, China"
134,Hungary
135,Iceland
136,India
137,Indonesia
138,"Iran, Islamic Rep."
139,Iraq
140,Ireland
141,Isle of Man
142,Israel
143,Italy
144,Jamaica
145,Japan
146,Jordan
147,Kazakhstan
148,Kenya
149,Kiribati
150,"Korea, Dem. People’s Rep."
151,"Korea, Rep."
152,Kosovo
153,Kuwait
154,Kyrgyz Republic
155,Lao PDR
156,Latvia
157,Lebanon
158,Lesotho
159,Liberia
160,Libya
161,Liechtenstein
162,Lithuania
163,Luxembourg
164,"Macao SAR, China"
165,Madagascar
166,Malawi
167,Malaysia
168,Maldives
169,Mali
170,Malta
171,Marshall Islands
172,Mauritania
173,Mauritius
174,Mexico
175,"Micronesia, Fed. Sts."
176,Moldova
177,Monaco
178,Mongolia
179,Montenegro
180,Morocco
181,Mozambique
182,Myanmar
183,Namibia
184,Nauru
185,Nepal
186,Netherlands
187,New Caledonia
188,New Zealand
189,Nicaragua
190,Niger
191,Nigeria
192,North Macedonia
193,Northern Mariana Islands
194,Norway
195,Oman
196,Pakistan
197,Palau
198,Panama
199,Papua New Guinea
200,Paraguay
201,Peru
202,Philippines
203,Poland
204,Portugal
205,Puerto Rico
206,Qatar
207,Romania
208,Russian Federation
209,Rwanda
210,Samoa
211,San Marino
212,Sao Tome and Principe
213,Saudi Arabia
214,Senegal
215,Serbia
216,Seychelles
217,Sierra Leone
218,Singapore
219,Sint Maarten (Dutch part)
220,Slovak Republic
221,Slovenia
222,Solomon Islands
223,Somalia
224,South Africa
225,South Sudan
226,Spain
227,Sri Lanka
228,St. Kitts and Nevis
229,St. Lucia
230,St. Martin (French part)
231,St. Vincent and the Grenadines
232,Sudan
233,Suriname
234,Sweden
235,Switzerland
236,Syrian Arab Republic
237,Tajikistan
238,Tanzania
239,Thailand
240,Timor-Leste
241,Togo
242,Tonga
243,Trinidad and Tobago
244,Tunisia
245,Turkey
246,Turkmenistan
247,Turks and Caicos Islands
248,Tuvalu
249,Uganda
250,Ukraine
251,United Arab Emirates
252,United Kingdom
253,United States
254,Uruguay
255,Uzbekistan
256,Vanuatu
257,"Venezuela, RB"
258,Vietnam
259,Virgin Islands (U.S.)
260,West Bank and Gaza
261,"Yemen, Rep."
262,Zambia
263,Zimbabwe
